time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-10-28T22:59:37.270Z,35.8141667,-120.3485,4.563,1.05,md,26,69,0.01712,0.05,nc,nc21415304,2017-01-09T05:49:12.490Z,"12 km SE of Parkfield, California",earthquake,0.25,0.41,0.31,5,reviewed,nc,nc
2004-10-28T18:22:48.830Z,35.9658333,-120.5203333,4.947,0.74,md,7,100,0.01532,0.01,nc,nc21415236,2017-01-09T05:48:31.377Z,"10 km NW of Parkfield, California",earthquake,0.6,1.25,0.2,2,automatic,nc,nc
2004-10-28T17:42:05.210Z,35.8873333,-120.4288333,5.976,1.32,md,33,61,0.02342,0.06,nc,nc21415230,2017-01-09T05:48:26.890Z,"1 km SSE of Parkfield, California",earthquake,0.23,0.33,0.09,15,reviewed,nc,nc
2004-10-28T16:49:46.720Z,35.9253333,-120.473,5.3,0.92,md,19,99,0.03423,0.05,nc,nc30230524,2017-01-09T05:48:11.859Z,"4 km NW of Parkfield, California",earthquake,0.35,0.62,,1,reviewed,nc,nc
2004-10-28T16:48:46.660Z,35.9255,-120.4715,5.194,1.11,md,19,99,0.01982,0.05,nc,nc21415224,2017-01-09T05:48:08.375Z,"4 km NW of Parkfield, California",earthquake,0.32,0.62,0.19,2,reviewed,nc,nc
2004-10-28T16:31:32.350Z,35.9428333,-120.4928333,12.045,0.78,md,7,119,0.03964,0.01,nc,nc21415222,2017-01-09T05:48:04.712Z,"7 km NW of Parkfield, California",earthquake,0.8,3.19,,1,automatic,nc,nc
2004-10-28T15:27:46.890Z,35.9385,-120.488,5.373,0.96,md,12,108,0.01892,0.03,nc,nc21415212,2017-01-09T05:48:01.304Z,"6 km NW of Parkfield, California",earthquake,0.4,0.86,0.13,6,automatic,nc,nc
2004-10-28T15:22:39.240Z,35.782,-120.3235,4.708,0.89,md,21,71,0.01622,0.07,nc,nc21415210,2017-01-09T05:47:57.880Z,"14 km NNE of Shandon, California",earthquake,0.21,0.32,0.03,3,reviewed,nc,nc
2004-10-28T14:23:07.780Z,35.9273333,-120.4741667,4.953,0.89,md,10,114,0.03333,0.04,nc,nc21415190,2017-01-09T05:47:33.533Z,"4 km NW of Parkfield, California",earthquake,0.43,1.03,0.24,2,automatic,nc,nc
2004-10-28T13:59:38.790Z,35.9243333,-120.4715,5.876,0.65,md,9,122,0.03604,0.04,nc,nc21415182,2017-01-09T05:47:26.715Z,"4 km NW of Parkfield, California",earthquake,0.48,1.47,0.11,2,automatic,nc,nc
2004-10-28T13:44:57.260Z,35.9285,-120.4803333,4.573,1.59,md,20,55,0.02793,0.08,nc,nc21415178,2017-01-09T05:47:23.345Z,"5 km NW of Parkfield, California",earthquake,0.31,0.48,0.13,9,automatic,nc,nc
2004-10-28T12:52:09.910Z,35.9385,-120.4986667,12.839,1.59,md,27,56,0.01532,0.08,nc,nc21415168,2017-01-09T05:47:13.701Z,"7 km NW of Parkfield, California",earthquake,0.35,0.47,0.1,13,automatic,nc,nc
2004-10-28T12:19:07.660Z,35.9611667,-120.5115,2.572,1.54,md,13,116,0.01171,0.05,nc,nc21415162,2017-01-09T05:47:10.212Z,"9 km NW of Parkfield, California",earthquake,0.32,0.64,0.15,7,automatic,nc,nc
2004-10-28T12:10:50.780Z,35.926,-120.4805,3.4,1.35,md,16,94,0.02793,0.08,nc,nc21415156,2017-01-09T05:47:01.239Z,"5 km NW of Parkfield, California",earthquake,0.32,0.78,0.16,7,automatic,nc,nc
2004-10-28T11:32:03.250Z,35.9285,-120.4721667,9.35,2.16,md,36,54,0.03423,0.06,nc,nc21415152,2017-01-09T05:46:53.770Z,"4 km NW of Parkfield, California",earthquake,0.21,0.31,0.06,26,automatic,nc,nc
2004-10-28T10:03:42.430Z,35.973,-120.524,5.722,0.4,md,8,137,0.01081,0.08,nc,nc21415140,2017-01-09T05:46:38.169Z,"11 km NW of Parkfield, California",earthquake,0.78,1.71,0.15,2,automatic,nc,nc
